,Artist,Track,Time,Genre
0,Nelly,(Hot S**t) Country Grammar,4:17,Rap
1,Nu Flavor,3 Little Words,3:54,R&B
2,"Jean, Wyclef",911,4:00,Rap
3,"Brock, Chad",A Country Boy Can Survive,3:54,Country
4,"Clark, Terri",A Little Gasoline,3:07,Country
5,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin
6,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B
7,Nine Days,Absolutely (Story Of A Girl),3:09,Rock
8,De La Soul,All Good?,5:02,Rap
9,Blink-182,All The Small Things,2:52,Rock
10,Lonestar,Amazed,4:25,Country
11,Madonna,American Pie,4:30,Rock
12,"Williams, Robbie",Angels,3:56,Rock
13,Hoku,Another Dumb Blonde,3:47,Pop
14,Yankee Grey,Another Nine Minutes,3:10,Country
15,Jay-Z,Anything,3:41,Rap
16,"Price, Kelly",As We Lay,6:20,Rock
17,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz
18,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap
19,"Levert, Gerald",Baby U Are,4:10,R&B
20,"Wills, Mark",Back At One,4:00,Country
21,BBMak,Back Here,3:35,Rock
22,Shyne,Bad Boyz,4:22,Rap
23,"Badu, Erkyah",Bag Lady,5:03,Rock
24,"Iglesias, Enrique",Be With You,3:36,Latin
25,"Messina, Jo Dee",Because You Love Me,3:50,Country
26,"Black, Clint",Been There,5:28,Country
27,matchbox twenty,Bent,4:12,Rock
28,Puff Daddy,Best Friend,5:33,Rap
29,"Tritt, Travis",Best Of Intentions,4:15,Country
30,Alice Deejay,Better Off Alone,6:50,Electronica
31,Ja Rule,Between Me And You,4:05,Rap
32,"Rimes, LeAnn",Big Deal,3:03,Country
33,Jay-Z,Big Pimpin',3:55,Rap
34,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica
35,"Evans, Sara",Born To Fly,5:36,Country
36,Lil Bow Wow,Bounce With Me,3:22,Rap
37,"Hill, Faith",Breathe,4:04,Rap
38,Q-Tip,Breathe And Stop,4:06,Rock
39,Blaque,Bring It All To Me,3:46,Pop
40,Goo Goo Dolls,Broadway,3:54,Rock
41,"Rogers, Kenny",Buy Me A Rose,3:46,Country
42,N'Sync,Bye Bye Bye,3:15,Rock
43,Red Hot Chili Peppers,Californication,5:21,Rock
44,Lil' Zane,Callin' Me,3:43,Rap
45,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country
46,Tamia,Can't Go For That,3:38,Rock
47,"Hollister, Dave",Can't Stay,6:17,Rock
48,"Vassar, Phil",Carlene,4:07,Country
49,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock
50,Kelis,Caught Out There,4:09,R&B
51,Sister Hazel,Change Your Mind,4:02,Rock
52,Ghostface Killah,Cherchez LaGhost,3:04,R&B
53,"Dixie Chicks, The",Cold Day In July,5:12,Country
54,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock
55,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock
56,"Raye, Collin",Couldn't Last A Moment,3:40,Country
57,"Keith, Toby",Country Comes To Town,3:39,Country
58,"Dixie Chicks, The",Cowboy Take Me Away,4:51,Country
59,Savage Garden,Crash And Burn,4:41,Rock
60,"Carey, Mariah",Crybaby,5:19,Rock
61,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country
62,Lucy Pearl,Dance Tonight,3:45,R&B
63,Guy,Dancin',4:08,R&B
64,A*Teens,Dancing Queen,3:44,Pop
65,TLC,Dear Lie,4:36,Rock
66,SheDaisy,Deck The Halls,3:46,Country
67,"Blige, Mary J.",Deep Inside,5:26,Rock
68,Third Eye Blind,Deep Inside Of You,4:10,Rock
69,Sting,Desert Rose,3:52,Rock
70,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap
71,"Brooks, Garth",Do What You Gotta Do,2:56,Country
72,Funkmaster Flex,Do You,4:14,Rap
73,Janet,Doesn't Really Matter,4:17,Rock
74,Madison Avenue,Don't Call Me Baby,3:44,Electronica
75,M2M,Don't Say You Love Me,3:41,Pop
76,Kandi,Don't Think I'm Not,3:50,Rock
77,"Thomas, Carl",Emotional,4:31,Rock
78,Vertical Horizon,Everything You Want,4:01,Rock
79,SoulDecision,Faded,3:25,Rock
80,Sugar Ray,Falls Apart,4:15,Rock
81,"Lopez, Jennifer",Feelin' Good,4:28,Latin
82,"Gill, Vince",Feels Like Love,4:13,Country
83,"Heatherly, Eric",Flowers On The Wall,3:16,Country
84,Dr. Dre,Forgot About Dre,3:42,Rap
85,"Smith, Will",Freakin' It,3:58,Rap
86,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock
87,"Eastsidaz, The",G'D Up,4:27,Rap
